condition,track,scope,aggregation,metric,mean,population_sd,min,max,n
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,event_pooled,modification_precision,1.0,0.0,1.0,1.0,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,event_pooled,opportunity_count,4621.0,0.0,4621.0,4621.0,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,event_pooled,removed_fp,2022.4,115.7455830690744,1813.0,2150.0,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,event_pooled,tp_preservation,,,,,0
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,rna_balanced,coverage,0.6005861048496965,0.03424253334310693,0.5462766952640982,0.638173152171655,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,rna_balanced,fp_removal,0.6005861048496965,0.03424253334310693,0.5462766952640982,0.638173152171655,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,rna_balanced,lost_tp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,rna_balanced,modification_precision,1.0,0.0,1.0,1.0,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,rna_balanced,removed_fp,2022.4,115.7455830690744,1813.0,2150.0,5
CER_EVIDENCE_MASKED,unpaired,LOCAL_CONFLICT,rna_balanced,tp_preservation,,,,,0
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,event_pooled,coverage,0.05953828879990135,0.004137098941264421,0.0530701782851654,0.06392824460179518,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,event_pooled,fp_removal,0.36265054806261,0.021345903221062626,0.32689792051964456,0.3847715278091028,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,event_pooled,lost_tp,1134.0,246.94938752708012,930.0,1530.0,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,event_pooled,modification_precision,0.8772313810522661,0.020337548099189494,0.8428674129608709,0.897807110921865,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,event_pooled,opportunity_count,154079.0,0.0,154079.0,154079.0,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,event_pooled,removed_fp,8039.6,473.21732850773753,7247.0,8530.0,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,event_pooled,tp_preservation,0.9914032294746418,0.001872105128702001,0.9884011826245167,0.9929497384580396,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,rna_balanced,coverage,0.057408416713574065,0.0037500525314671,0.05053911873666229,0.06130780071015774,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,rna_balanced,fp_removal,0.6037805301398397,0.02819818676255559,0.5646378155338573,0.6386265083698034,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,rna_balanced,lost_tp,1134.0,246.94938752708012,930.0,1530.0,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,rna_balanced,modification_precision,0.9428814781596312,0.006927039885849305,0.9358469428441886,0.9552565376277833,5
CER_EVIDENCE_MASKED,unpaired,NON_EVIDENCED,rna_balanced,removed_fp,8039.6,473.21732850773753,7247.0,8530.0,5
