source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,macro_precision,macro_precision_defined_rna_count,macro_recall,macro_recall_defined_rna_count,macro_f1,macro_f1_defined_rna_count,macro_tp_preservation,macro_tp_preservation_defined_rna_count,macro_fp_removal,macro_fp_removal_defined_rna_count,macro_modification_precision,macro_modification_precision_defined_rna_count,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count,macro_delta_f1_vs_b0,macro_delta_f1_vs_b1,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
rnafold,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,0.956383244125066,113,0.985979407296024,113,0.9692075663494077,113,0.9953687888198758,112,0.2933794353794354,45,0.9489817717449759,26,0.09078809021139782,113,0.040914716591342715,0.013752446990547229,0.002855404868850719,113
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B0_ORIGINAL,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,,0,0.0,0.0,,0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,,0,0.0,0.0,,0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,,0,0.0,0.0,,0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B0_ORIGINAL,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,0.0,121,0.0,-0.0038434650497474188,0.0,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,0.9142310182857848,121,0.9138670306547281,121,0.9096610769577035,121,1.0,120,0.1441446273584007,51,1.0,42,0.12066115702479338,121,0.0038434650497474188,0.0,0.0007686930099494661,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,0.9238364411583446,121,0.9222045957087484,121,0.9185587340830326,121,0.9989242424242425,120,0.2081640901033536,51,0.9126225161117079,42,0.28760330578512394,121,0.012741122175076502,0.008897657125329084,0.0025482244350152803,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B0_ORIGINAL,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,0.0,121,0.0,-0.004400559807201332,0.0,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B1_LOCAL_HARD,605,121,0,0.9148247422706012,121,0.9138670306547281,121,0.9102181717151574,121,1.0,120,0.14551665995233667,51,1.0,37,0.11504132231404958,121,0.004400559807201332,0.0,0.0008526254073657404,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,0.9240578978741076,121,0.9217023122828926,121,0.9188053962364519,121,0.9972569718928415,120,0.21888993554225503,51,0.8317789915929612,37,0.28865013774104686,121,0.012987784328495788,0.008587224521294456,0.002613641975814445,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B0_ORIGINAL,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,0.0,121,0.0,-0.005031029334366277,0.0,121
