manifest_id,manifest_payload_sha256,rna_id,channel,density_percent,evidence_seed,item_count,sequence_length,crossing_status,minimum_loop_status,crossing_flag,minimum_loop_flag,minimum_pair_separation,validity_status,eligibility_status,reason
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_109__noise_00,50811964db0150ca317ff927d4104c60aadcc65e70c1601428b68a98b5236fce,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,109,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_113__noise_00,015fd8ebb725a317d309f6fb398ef16df3df5c3300d93a3ad522668909584485,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,113,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_101__noise_00,806c7d30fc46f221fac209986f5ef86f03a7e7958364047dc2588e70caf24c10,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,101,4,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_103__noise_00,1f4b8da3ce6752498d5b9f9aa537257d8280f0b6a0958b23f8ed0e03b3ed3b79,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,103,4,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_107__noise_00,c619d95c80a2a6737616c3286e52ae7445f5b15c054e845f8f224e45946de8ea,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,107,4,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_109__noise_00,5507bdc2025792e523169df227a45eaeb3d97dfffd88fbe270b7301cc1522b9d,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,109,4,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_113__noise_00,7a0f74b1d69b21473cf05c1160d1886ecde7a8000559ee26762030fc3b188211,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,113,4,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,889a4484b9ad520e4ee34e19866d75af238defdddc77059070fad973c850b3fc,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,0,101,0,44,PASS,PASS,False,False,,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,a05b475812fa27d24d99f87cb611de86f36262d7ae121df66469f4d138fc370f,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,0,103,0,44,PASS,PASS,False,False,,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_107__noise_00,390cc388270fc20153385f74462e5a7b0f656479a77a6fa08a74850a9c041588,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,0,107,0,44,PASS,PASS,False,False,,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_109__noise_00,4a62689734f5ee9c29aae4b0514219e2f6e6086e6a29dae280bfbc19139b59aa,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,0,109,0,44,PASS,PASS,False,False,,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_113__noise_00,b2eb29c338b97791ea242cfd14770f2928c3d6e78cff9c0a3b0fe4345b751c32,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,0,113,0,44,PASS,PASS,False,False,,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_01__seed_101__noise_00,ce50986637348b45facf5c71ea3c97983593de6eebd827422d04f38483c71729,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,1,101,1,44,PASS,PASS,False,False,9,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
