condition,fold,seed,delete_precision,delete_recall,delete_f1,tp,fp,fn
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,4,53,0.5238095238095238,0.6556291390728477,0.5823529411764706,99,90,52
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,4,67,0.5,0.6291390728476821,0.5571847507331378,95,95,56
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,0,17,0.659217877094972,0.7919463087248322,0.7195121951219512,118,61,31
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,0,29,0.659217877094972,0.7919463087248322,0.7195121951219512,118,61,31
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,0,41,0.644808743169399,0.7919463087248322,0.7108433734939759,118,65,31
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,0,53,0.6704545454545454,0.7919463087248322,0.7261538461538461,118,58,31
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,0,67,0.6270270270270271,0.7785234899328859,0.6946107784431138,116,69,33
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,1,17,0.66875,0.8770491803278688,0.7588652482269503,107,53,15
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,1,29,0.6751592356687898,0.8688524590163934,0.7598566308243727,106,51,16
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,1,41,0.6815286624203821,0.8770491803278688,0.7670250896057348,107,50,15
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,1,53,0.6729559748427673,0.8770491803278688,0.7615658362989324,107,52,15
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,1,67,0.6545454545454545,0.8852459016393442,0.7526132404181185,108,57,14
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,2,17,0.7258426966292135,0.9176136363636364,0.8105395232120451,323,122,29
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,2,29,0.7392290249433107,0.9261363636363636,0.8221941992433796,326,115,26
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,2,41,0.7482517482517482,0.9119318181818182,0.8220230473751601,321,108,31
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,2,53,0.7392290249433107,0.9261363636363636,0.8221941992433796,326,115,26
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,2,67,0.7585421412300684,0.9460227272727273,0.8419721871049305,333,106,19
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,3,17,0.6114285714285714,0.8991596638655462,0.7278911564625851,107,68,12
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,3,29,0.5846994535519126,0.8991596638655462,0.7086092715231788,107,76,12
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,3,41,0.6309523809523809,0.8907563025210085,0.7386759581881533,106,62,13
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,3,53,0.601123595505618,0.8991596638655462,0.7205387205387206,107,71,12
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,3,67,0.5944444444444444,0.8991596638655462,0.7157190635451505,107,73,12
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,4,17,0.6989247311827957,0.8609271523178808,0.771513353115727,130,56,21
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,4,29,0.6914893617021277,0.8609271523178808,0.7669616519174042,130,58,21
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,4,41,0.6961325966850829,0.8344370860927153,0.7590361445783133,126,55,25
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,4,53,0.6951871657754011,0.8609271523178808,0.7692307692307693,130,57,21
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,4,67,0.6989247311827957,0.8609271523178808,0.771513353115727,130,56,21
