condition,evidence_channel,density_percent,evidence_seed,source_model,actual_evidence_item_count,evidence_compliant_before_count,evidence_compliant_after_count,evidence_compliance_before,evidence_compliance_after,direct_recovery_count,directly_inserted_pair_count,local_conflicting_pairs_before,local_conflicting_pairs_removed,local_conflict_correction_rate
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,101,petfold,873,722,722,0.827033218785796,0.827033218785796,0,0,122,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,101,rnafold,873,737,737,0.8442153493699885,0.8442153493699885,0,0,112,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,101,trrosettarna2_native_ss,873,598,598,0.6849942726231386,0.6849942726231386,0,0,218,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,103,petfold,873,738,738,0.845360824742268,0.845360824742268,0,0,119,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,103,rnafold,873,755,755,0.8648339060710195,0.8648339060710195,0,0,103,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,103,trrosettarna2_native_ss,873,581,581,0.6655211912943871,0.6655211912943871,0,0,226,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,107,petfold,873,728,728,0.8339060710194731,0.8339060710194731,0,0,122,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,107,rnafold,873,750,750,0.8591065292096219,0.8591065292096219,0,0,105,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,107,trrosettarna2_native_ss,873,589,589,0.6746849942726232,0.6746849942726232,0,0,224,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,109,petfold,873,739,739,0.8465063001145475,0.8465063001145475,0,0,117,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,109,rnafold,873,756,756,0.865979381443299,0.865979381443299,0,0,103,0,0.0
