variant,fold,seed,mode,source_model,macro_delta_f1,micro_delta_f1,modification_precision,correct_pair_preservation,modified_pair_count,modified_rna_count
MODEL_SPECIFIC_PETFOLD,2,17,LEARNED_UNGATED,petfold,-0.11091407240126884,-0.09824218456310241,0.4198895027624309,0.6982758620689655,181,24
MODEL_SPECIFIC_PETFOLD,2,17,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,2,29,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,2,29,LEARNED_UNGATED,petfold,-0.11615699326775286,-0.1010429629810824,0.43005181347150256,0.6839080459770115,193,23
MODEL_SPECIFIC_PETFOLD,2,29,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,2,41,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,2,41,LEARNED_UNGATED,petfold,-0.1250642068387938,-0.11231021596220969,0.41708542713567837,0.6666666666666666,199,24
MODEL_SPECIFIC_PETFOLD,2,41,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,2,53,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,2,53,LEARNED_UNGATED,petfold,-0.1221782955703531,-0.10480907345626078,0.4292929292929293,0.6752873563218391,198,24
MODEL_SPECIFIC_PETFOLD,2,53,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,2,67,LEARNED_UNGATED,rnafold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_PETFOLD,2,67,LEARNED_UNGATED,petfold,-0.09306445840634113,-0.08361152142914152,0.45054945054945056,0.7126436781609196,182,24
