variant,fold,seed,mode,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,modified_pair_count,modified_rna_count,beneficial_edit_count,harmful_edit_count,modification_precision,delete_recall,beneficial_harmful_ratio,correct_pair_preservation
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_SELECTIVE,0.9244797205482689,0.9436748436748438,0.9307174680992558,0.88125,0.9245901639344263,0.9024,0.0,0.0,0,0,0,0,,0.0,,1.0
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_UNGATED,0.9549768518518519,0.7889877551642256,0.8540053587411341,0.9446808510638298,0.7278688524590164,0.8222222222222222,-0.07671210935812152,-0.08017777777777779,85,19,25,60,0.29411764705882354,0.6578947368421053,0.4166666666666667,0.7872340425531915
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_SELECTIVE,0.9244797205482689,0.9436748436748438,0.9307174680992558,0.88125,0.9245901639344263,0.9024,0.0,0.0,0,0,0,0,,0.0,,1.0
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_UNGATED,0.9448647247360483,0.815631440999088,0.866005876727668,0.9346938775510204,0.7508196721311475,0.8327272727272728,-0.06471159137158779,-0.06967272727272722,75,15,22,53,0.29333333333333333,0.5789473684210527,0.41509433962264153,0.8120567375886525
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_SELECTIVE,0.9247126229034124,0.9421867484367484,0.9301917705126496,0.8836477987421384,0.921311475409836,0.9020866773675762,-0.0005256975866062922,-0.0003133226324237848,2,2,1,1,0.5,0.02631578947368421,1.0,0.9964539007092199
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_UNGATED,0.9491161616161617,0.8138122362387068,0.8691455562911149,0.9282868525896414,0.7639344262295082,0.8381294964028777,-0.0615719118081409,-0.06427050359712227,69,19,20,49,0.2898550724637681,0.5263157894736842,0.40816326530612246,0.8262411347517731
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_SELECTIVE,0.9244797205482689,0.9436748436748438,0.9307174680992558,0.88125,0.9245901639344263,0.9024,0.0,0.0,0,0,0,0,,0.0,,1.0
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_UNGATED,0.9412367724867726,0.8176537650802357,0.8657351338188959,0.9344262295081968,0.7475409836065574,0.8306010928961749,-0.06498233428035988,-0.07179890710382508,76,15,22,54,0.2894736842105263,0.5789473684210527,0.4074074074074074,0.8085106382978723
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_SELECTIVE,0.9241985689513279,0.9424122174122175,0.9300165030496993,0.8808777429467085,0.921311475409836,0.9006410256410257,-0.000700965049556602,-0.001758974358974319,1,1,0,1,0.0,0.0,0.0,0.9964539007092199
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_UNGATED,0.9098636363636363,0.762201878031034,0.8123692001810255,0.9243697478991597,0.6626506024096386,0.7719298245614035,-0.08086417094430778,-0.1312959818902094,112,18,24,88,0.21428571428571427,0.5714285714285714,0.2727272727272727,0.7142857142857143
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_SELECTIVE,0.8863361244190966,0.8992362765396014,0.8897677241628362,0.9009287925696594,0.8765060240963856,0.8885496183206106,-0.003465646962497071,-0.014676188131002244,27,8,10,17,0.37037037037037035,0.23809523809523808,0.5882352941176471,0.9448051948051948
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_UNGATED,0.9121153846153846,0.7729232455524015,0.822453288101329,0.926530612244898,0.6837349397590361,0.7868284228769498,-0.07078008302400414,-0.11639738357466312,105,19,24,81,0.22857142857142856,0.5714285714285714,0.2962962962962963,0.737012987012987
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_SELECTIVE,0.8805981843533864,0.9053090244793569,0.8905148059041538,0.891566265060241,0.891566265060241,0.891566265060241,-0.0027185652211793743,-0.01165954139137193,18,7,6,12,0.3333333333333333,0.14285714285714285,0.5,0.961038961038961
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_UNGATED,0.9115000000000001,0.7655962614254175,0.815306443582785,0.9288702928870293,0.6686746987951807,0.7775831873905429,-0.07792692754254825,-0.12564261906107,111,18,25,86,0.22522522522522523,0.5952380952380952,0.29069767441860467,0.7207792207792207
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_SELECTIVE,0.885552036324822,0.9060394592619656,0.8932364748119339,0.8996960486322189,0.891566265060241,0.8956127080181543,3.103686600707256e-06,-0.007613098433458587,21,8,9,12,0.42857142857142855,0.21428571428571427,0.75,0.961038961038961
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_UNGATED,0.899529657477026,0.7856626601588238,0.8258116305345543,0.9094488188976378,0.6957831325301205,0.78839590443686,-0.06742174059077906,-0.11482990201475285,96,17,19,77,0.19791666666666666,0.4523809523809524,0.24675324675324675,0.75
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_SELECTIVE,0.878607396411558,0.8988504851215849,0.8859077531465326,0.8912386706948641,0.8885542168674698,0.889894419306184,-0.007325617978800762,-0.013331387145428919,19,7,6,13,0.3157894736842105,0.14285714285714285,0.46153846153846156,0.9577922077922078
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_UNGATED,0.9103137254901961,0.762815032992015,0.8134229782513934,0.9288702928870293,0.6686746987951807,0.7775831873905429,-0.07981039287393984,-0.12564261906107,111,18,25,86,0.22522522522522523,0.5952380952380952,0.29069767441860467,0.7207792207792207
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_SELECTIVE,0.8767464753231343,0.9128510534648642,0.8926092576703932,0.8885630498533724,0.9126506024096386,0.9004457652303121,-0.0006241134549400495,-0.002780041221300822,9,5,4,5,0.4444444444444444,0.09523809523809523,0.8,0.9837662337662337
MODEL_SPECIFIC_PETFOLD,1,17,LEARNED_UNGATED,0.9268999518999519,0.7797919672919672,0.8432120212757468,0.9279279279279279,0.762962962962963,0.8373983739837398,-0.05186027010526719,-0.04581330484837698,56,23,20,36,0.35714285714285715,0.5555555555555556,0.5555555555555556,0.8512396694214877
MODEL_SPECIFIC_PETFOLD,1,29,LEARNED_UNGATED,0.9336931995020231,0.7639753186628186,0.8354903567364868,0.933649289099526,0.7296296296296296,0.8191268191268192,-0.059581934644527185,-0.06408485970529765,67,23,22,45,0.3283582089552239,0.6111111111111112,0.4888888888888889,0.8140495867768595
MODEL_SPECIFIC_PETFOLD,1,41,LEARNED_UNGATED,0.9346626814977199,0.7714627675565175,0.8382063722925067,0.9299065420560748,0.737037037037037,0.8223140495867769,-0.05686591908850721,-0.060897629245339924,64,22,21,43,0.328125,0.5833333333333334,0.4883720930232558,0.8223140495867769
